t = 0, u =     996.556 1.11852e+08       1e+15 0.000207097       1e+15 0.000207097, Te = 10000, T = 300
t = 5e-14, u =     996.556 1.11852e+08 6.59863e+19     1.21464 6.59863e+19     40.3311, Te = 888.835, T = 300
t = 1e-13, u =     996.556 1.11852e+08 1.97955e+20     3.64164 1.97955e+20     120.993, Te = 888.291, T = 300
t = 1.5e-13, u =     996.556 1.11852e+08 3.29925e+20      6.0665 3.29925e+20     201.654, Te = 887.867, T = 300
t = 2e-13, u =     996.556 1.11852e+08 4.61895e+20     8.48994 4.61895e+20     282.316, Te = 887.539, T = 300
t = 2.5e-13, u =     996.556 1.11852e+08 5.93864e+20     10.9124 5.93864e+20     362.978, Te = 887.273, T = 300
t = 3e-13, u =     996.556 1.11852e+08 7.25834e+20     13.3341 7.25834e+20      443.64, Te = 887.059, T = 300
t = 3.5e-13, u =     996.556 1.11852e+08 8.57804e+20     15.7555 8.57804e+20     524.301, Te = 886.889, T = 300
t = 4e-13, u =     996.556 1.11852e+08 9.89773e+20     18.1767 9.89773e+20     604.963, Te = 886.757, T = 300
t = 4.5e-13, u =     996.556 1.11852e+08 1.12174e+21      20.598 1.12174e+21     685.625, Te = 886.66, T = 300
t = 5e-13, u =     996.556 1.11852e+08 1.25371e+21     23.0196 1.25371e+21     766.286, Te = 886.593, T = 300
t = 5.5e-13, u =     996.556 1.11852e+08 1.38568e+21     25.4416 1.38568e+21     846.948, Te = 886.555, T = 300
t = 6e-13, u =     996.556 1.11852e+08 1.51765e+21     27.8641 1.51765e+21      927.61, Te = 886.541, T = 300
t = 6.5e-13, u =     996.556 1.11852e+08 1.64962e+21     30.2874 1.64962e+21     1008.27, Te = 886.55, T = 300
t = 7e-13, u =     996.556 1.11852e+08 1.78159e+21     32.7124 1.78159e+21     1088.93, Te = 886.605, T = 300
t = 7.5e-13, u =     996.556 1.11852e+08 1.91356e+21     35.1402 1.91356e+21     1169.59, Te = 886.721, T = 300
t = 8e-13, u =     996.556 1.11852e+08 2.04553e+21     37.5708 2.04553e+21     1250.26, Te = 886.891, T = 300
t = 8.5e-13, u =     996.556 1.11852e+08  2.1775e+21     40.0049  2.1775e+21     1330.92, Te = 887.116, T = 300
t = 9e-13, u =     996.556 1.11852e+08 2.30947e+21     42.4427 2.30947e+21     1411.58, Te = 887.393, T = 300
t = 9.5e-13, u =     996.556 1.11852e+08 2.44144e+21     44.8846 2.44144e+21     1492.24, Te = 887.723, T = 300
t = 1e-12, u =     996.556 1.11852e+08 2.57341e+21     47.3311 2.57341e+21      1572.9, Te = 888.103, T = 300
t = 1.05e-12, u =     996.556 1.11852e+08 2.70538e+21     49.7825 2.70538e+21     1653.56, Te = 888.535, T = 300
