t = 0, u =     996.556 1.11852e+08       1e+15 0.000207097       1e+15 0.000207097, Te = 10000, T = 300
t = 1e-13, u =     996.556 1.11852e+08 1.31972e+20     2.42908 1.31972e+20     80.6619, Te = 888.766, T = 300
t = 2e-13, u =     996.556 1.11852e+08  3.9591e+20      7.2788  3.9591e+20     241.985, Te = 887.746, T = 300
t = 3e-13, u =     996.556 1.11852e+08 6.59849e+20     12.1233 6.59849e+20     403.309, Te = 887.163, T = 300
t = 4e-13, u =     996.556 1.11852e+08 9.23788e+20     16.9658 9.23788e+20     564.632, Te = 886.806, T = 300
t = 5e-13, u =     996.556 1.11852e+08 1.18773e+21     21.8083 1.18773e+21     725.956, Te = 886.604, T = 300
t = 6e-13, u =     996.556 1.11852e+08 1.45167e+21     26.6521 1.45167e+21     887.279, Te = 886.524, T = 300
t = 7e-13, u =     996.556 1.11852e+08 1.71561e+21     31.4986 1.71561e+21      1048.6, Te = 886.541, T = 300
t = 8e-13, u =     996.556 1.11852e+08 1.97955e+21     36.3535 1.97955e+21     1209.93, Te = 886.76, T = 300
t = 9e-13, u =     996.556 1.11852e+08 2.24348e+21     41.2213 2.24348e+21     1371.25, Te = 887.205, T = 300
t = 1e-12, u =     996.556 1.11852e+08 2.50742e+21     46.1049 2.50742e+21     1532.57, Te = 887.861, T = 300
t = 1.1e-12, u =     996.556 1.11852e+08 2.77136e+21     51.0075 2.77136e+21      1693.9, Te = 888.722, T = 300
t = 1.2e-12, u =     996.556 1.11852e+08  3.0353e+21      55.932  3.0353e+21     1855.22, Te = 889.783, T = 300
t = 1.3e-12, u =     996.556 1.11852e+08 3.29924e+21     60.8815 3.29924e+21     2016.54, Te = 891.039, T = 300
t = 1.4e-12, u =     996.556 1.11852e+08 3.56318e+21     65.8588 3.56318e+21     2177.87, Te = 892.487, T = 300
t = 1.5e-12, u =     996.556 1.11852e+08 3.82712e+21     70.8669 3.82712e+21     2339.19, Te = 894.122, T = 300
t = 1.6e-12, u =     996.556 1.11852e+08 4.09106e+21     75.9085 4.09106e+21     2500.51, Te = 895.942, T = 300
t = 1.7e-12, u =     996.556 1.11853e+08   4.355e+21     80.9862   4.355e+21     2661.84, Te = 897.943, T = 300
t = 1.8e-12, u =     996.556 1.11853e+08 4.61894e+21     86.1027 4.61894e+21     2823.16, Te = 900.119, T = 300
t = 1.9e-12, u =     996.556 1.11853e+08 4.88288e+21     91.2604 4.88288e+21     2984.48, Te = 902.469, T = 300
t = 2e-12, u =     996.556 1.11853e+08 5.14681e+21     96.4619 5.14681e+21     3145.81, Te = 904.988, T = 300
t = 2.1e-12, u =     996.556 1.11853e+08 5.41075e+21     101.709 5.41075e+21     3307.13, Te = 907.672, T = 300
t = 2.2e-12, u =     996.556 1.11853e+08 5.67469e+21     107.005 5.67469e+21     3468.45, Te = 910.517, T = 300
t = 2.3e-12, u =     996.556 1.11853e+08 5.93863e+21     112.351 5.93863e+21     3629.77, Te = 913.519, T = 300
t = 2.4e-12, u =     996.556 1.11853e+08 6.20257e+21      117.75 6.20257e+21      3791.1, Te = 916.674, T = 300
t = 2.5e-12, u =     996.556 1.11853e+08 6.46651e+21     123.203 6.46651e+21     3952.42, Te = 919.978, T = 300
t = 2.6e-12, u =     996.556 1.11853e+08 6.73045e+21     128.713 6.73045e+21     4113.74, Te = 923.427, T = 300
t = 2.7e-12, u =     996.556 1.11853e+08 6.99439e+21      134.28 6.99439e+21     4275.07, Te = 927.016, T = 300
t = 2.8e-12, u =     996.556 1.11853e+08 7.25832e+21     139.907 7.25832e+21     4436.39, Te = 930.742, T = 300
t = 2.9e-12, u =     996.556 1.11853e+08 7.52226e+21     145.596 7.52226e+21     4597.71, Te = 934.601, T = 300
t = 3e-12, u =     996.556 1.11853e+08  7.7862e+21     151.347  7.7862e+21     4759.04, Te = 938.587, T = 300
t = 3.1e-12, u =     996.556 1.11853e+08 8.05014e+21     157.163 8.05014e+21     4920.36, Te = 942.698, T = 300
t = 3.2e-12, u =     996.556 1.11853e+08 8.31408e+21     163.044 8.31408e+21     5081.68, Te = 946.928, T = 300
t = 3.3e-12, u =     996.556 1.11853e+08 8.57802e+21     168.992 8.57802e+21        5243, Te = 951.274, T = 300
t = 3.4e-12, u =     996.556 1.11853e+08 8.84195e+21     175.008 8.84195e+21     5404.33, Te = 955.732, T = 300
