t = 0, u =     996.556 1.11852e+08       1e+15 0.000207097       1e+15 0.000207097, Te = 10000, T = 300
t = 1e-13, u =     996.556 1.11852e+08 2.63942e+20     4.85796 2.63942e+20     161.324, Te = 888.731, T = 300
t = 2e-13, u =     996.556 1.11852e+08  5.2788e+20     9.70385  5.2788e+20     322.647, Te = 887.634, T = 300
t = 3e-13, u =     996.556 1.11852e+08  7.9182e+20     14.5463  7.9182e+20      483.97, Te = 887.06, T = 300
t = 4e-13, u =     996.556 1.11852e+08 1.05576e+21      19.388 1.05576e+21     645.294, Te = 886.736, T = 300
t = 5e-13, u =     996.556 1.11852e+08  1.3197e+21     24.2306  1.3197e+21     806.617, Te = 886.574, T = 300
t = 6e-13, u =     996.556 1.11852e+08 1.58364e+21     29.0753 1.58364e+21     967.941, Te = 886.532, T = 300
t = 7e-13, u =     996.556 1.11852e+08 1.84758e+21     33.9231 1.84758e+21     1129.26, Te = 886.583, T = 300
t = 8e-13, u =     996.556 1.11852e+08 2.11152e+21     38.7832 2.11152e+21     1290.59, Te = 886.9, T = 300
t = 9e-13, u =     996.556 1.11852e+08 2.37546e+21     43.6577 2.37546e+21     1451.91, Te = 887.441, T = 300
t = 1e-12, u =     996.556 1.11852e+08 2.63939e+21     48.5496 2.63939e+21     1613.23, Te = 888.192, T = 300
t = 1.1e-12, u =     996.556 1.11852e+08 2.90333e+21      53.462 2.90333e+21     1774.56, Te = 889.148, T = 300
t = 1.2e-12, u =     996.556 1.11852e+08 3.16727e+21     58.3979 3.16727e+21     1935.88, Te = 890.302, T = 300
t = 1.3e-12, u =     996.556 1.11852e+08 3.43121e+21     63.3602 3.43121e+21      2097.2, Te = 891.65, T = 300
t = 1.4e-12, u =     996.556 1.11852e+08 3.69515e+21     68.3518 3.69515e+21     2258.53, Te = 893.189, T = 300
t = 1.5e-12, u =     996.556 1.11852e+08 3.95909e+21     73.3756 3.95909e+21     2419.85, Te = 894.915, T = 300
t = 1.6e-12, u =     996.556 1.11852e+08 4.22303e+21     78.4342 4.22303e+21     2581.17, Te = 896.824, T = 300
t = 1.7e-12, u =     996.556 1.11853e+08 4.48697e+21     83.5303 4.48697e+21      2742.5, Te = 898.911, T = 300
t = 1.8e-12, u =     996.556 1.11853e+08 4.75091e+21     88.6665 4.75091e+21     2903.82, Te = 901.174, T = 300
t = 1.9e-12, u =     996.556 1.11853e+08 5.01485e+21     93.8452 5.01485e+21     3065.14, Te = 903.608, T = 300
t = 2e-12, u =     996.556 1.11853e+08 5.27878e+21     99.0688 5.27878e+21     3226.47, Te = 906.209, T = 300
t = 2.1e-12, u =     996.556 1.11853e+08 5.54272e+21      104.34 5.54272e+21     3387.79, Te = 908.974, T = 300
t = 2.2e-12, u =     996.556 1.11853e+08 5.80666e+21      109.66 5.80666e+21     3549.11, Te = 911.898, T = 300
t = 2.3e-12, u =     996.556 1.11853e+08  6.0706e+21     115.031  6.0706e+21     3710.44, Te = 914.977, T = 300
t = 2.4e-12, u =     996.556 1.11853e+08 6.33454e+21     120.457 6.33454e+21     3871.76, Te = 918.207, T = 300
t = 2.5e-12, u =     996.556 1.11853e+08 6.59848e+21     125.937 6.59848e+21     4033.08, Te = 921.585, T = 300
t = 2.6e-12, u =     996.556 1.11853e+08 6.86242e+21     131.475 6.86242e+21     4194.41, Te = 925.105, T = 300
t = 2.7e-12, u =     996.556 1.11853e+08 7.12636e+21     137.072 7.12636e+21     4355.73, Te = 928.764, T = 300
t = 2.8e-12, u =     996.556 1.11853e+08 7.39029e+21     142.729 7.39029e+21     4517.05, Te = 932.557, T = 300
t = 2.9e-12, u =     996.556 1.11853e+08 7.65423e+21     148.448 7.65423e+21     4678.37, Te = 936.481, T = 300
t = 3e-12, u =     996.556 1.11853e+08 7.91817e+21     154.231 7.91817e+21      4839.7, Te = 940.531, T = 300
t = 3.1e-12, u =     996.556 1.11853e+08 8.18211e+21     160.079 8.18211e+21     5001.02, Te = 944.703, T = 300
t = 3.2e-12, u =     996.556 1.11853e+08 8.44605e+21     165.994 8.44605e+21     5162.34, Te = 948.993, T = 300
t = 3.3e-12, u =     996.556 1.11853e+08 8.70999e+21     171.975 8.70999e+21     5323.67, Te = 953.397, T = 300
t = 3.4e-12, u =     996.556 1.11853e+08 8.97392e+21     178.025 8.97392e+21     5484.99, Te = 957.91, T = 300
t = 3.5e-12, u =     996.556 1.11853e+08 9.23786e+21     184.145 9.23786e+21     5646.31, Te = 962.53, T = 300
t = 3.6e-12, u =     996.556 1.11853e+08  9.5018e+21     190.335  9.5018e+21     5807.63, Te = 967.251, T = 300
t = 3.7e-12, u =     996.556 1.11853e+08 9.76574e+21     196.597 9.76574e+21     5968.96, Te = 972.07, T = 300
t = 3.8e-12, u =     996.556 1.11853e+08 1.00297e+22     202.931 1.00297e+22     6130.28, Te = 976.983, T = 300
t = 3.9e-12, u =     996.556 1.11853e+08 1.02936e+22     209.338 1.02936e+22      6291.6, Te = 981.987, T = 300
t = 4e-12, u =     996.556 1.11853e+08 1.05576e+22     215.819 1.05576e+22     6452.92, Te = 987.077, T = 300
